x-axis,1,2,3
second,Volt,Volt,Volt
+19.800E-03,+1.937500E+00,+2.612500E+00,+2.550000E+00
+19.900E-03,+1.937500E+00,+2.425000E+00,+2.331250E+00
+20.000E-03,+1.906250E+00,+2.237500E+00,+2.081250E+00
+20.100E-03,+1.906250E+00,+1.987500E+00,+1.862500E+00
+20.200E-03,+1.843750E+00,+1.800000E+00,+1.706250E+00
+20.300E-03,+1.781250E+00,+1.706250E+00,+1.675000E+00
+20.400E-03,+1.812500E+00,+1.643750E+00,+1.675000E+00
+20.500E-03,+1.750000E+00,+1.643750E+00,+1.706250E+00
+20.600E-03,+1.718750E+00,+1.675000E+00,+1.706250E+00
+20.700E-03,+1.656250E+00,+1.737500E+00,+1.768750E+00
+20.800E-03,+1.656250E+00,+1.706250E+00,+1.768750E+00
+20.900E-03,+1.625000E+00,+1.737500E+00,+1.737500E+00
+21.000E-03,+1.593750E+00,+1.675000E+00,+1.706250E+00
+21.100E-03,+1.531250E+00,+1.643750E+00,+1.675000E+00
+21.200E-03,+1.500000E+00,+1.643750E+00,+1.612500E+00
+21.300E-03,+1.531250E+00,+1.581250E+00,+1.581250E+00
+21.400E-03,+1.500000E+00,+1.550000E+00,+1.518750E+00
+21.500E-03,+1.500000E+00,+1.487500E+00,+1.518750E+00
+21.600E-03,+1.500000E+00,+1.487500E+00,+1.487500E+00
+21.700E-03,+1.500000E+00,+1.487500E+00,+1.518750E+00
+21.800E-03,+1.500000E+00,+1.487500E+00,+1.518750E+00
+21.900E-03,+1.500000E+00,+1.518750E+00,+1.550000E+00
+22.000E-03,+1.562500E+00,+1.518750E+00,+1.550000E+00
+22.100E-03,+1.656250E+00,+1.550000E+00,+1.612500E+00
+22.200E-03,+1.687500E+00,+1.581250E+00,+1.675000E+00
+22.300E-03,+1.750000E+00,+1.643750E+00,+1.675000E+00
+22.400E-03,+1.812500E+00,+1.706250E+00,+1.768750E+00
+22.500E-03,+1.906250E+00,+1.768750E+00,+1.800000E+00
+22.600E-03,+2.000000E+00,+1.831250E+00,+1.925000E+00
+22.700E-03,+2.125000E+00,+1.956250E+00,+2.050000E+00
+22.800E-03,+2.218750E+00,+2.050000E+00,+2.112500E+00
+22.900E-03,+2.343750E+00,+2.175000E+00,+2.268750E+00
+23.000E-03,+2.468750E+00,+2.300000E+00,+2.362500E+00
+23.100E-03,+2.625000E+00,+2.425000E+00,+2.518750E+00
+23.200E-03,+2.718750E+00,+2.550000E+00,+2.643750E+00
+23.300E-03,+2.843750E+00,+2.706250E+00,+2.800000E+00
+23.400E-03,+3.000000E+00,+2.831250E+00,+2.925000E+00
+23.500E-03,+3.093750E+00,+2.956250E+00,+3.018750E+00
+23.600E-03,+3.156250E+00,+3.050000E+00,+3.175000E+00
+23.700E-03,+3.218750E+00,+3.206250E+00,+3.268750E+00
+23.800E-03,+3.312500E+00,+3.268750E+00,+3.331250E+00
+23.900E-03,+3.343750E+00,+3.331250E+00,+3.393750E+00
+24.000E-03,+3.343750E+00,+3.425000E+00,+3.425000E+00
+24.100E-03,+3.312500E+00,+3.425000E+00,+3.456250E+00
+24.200E-03,+3.281250E+00,+3.425000E+00,+3.425000E+00
+24.300E-03,+3.218750E+00,+3.425000E+00,+3.362500E+00
+24.400E-03,+3.093750E+00,+3.331250E+00,+3.300000E+00
+24.500E-03,+3.000000E+00,+3.237500E+00,+3.206250E+00
+24.600E-03,+2.843750E+00,+3.143750E+00,+3.081250E+00
+24.700E-03,+2.687500E+00,+3.018750E+00,+2.925000E+00
+24.800E-03,+2.500000E+00,+2.831250E+00,+2.737500E+00
+24.900E-03,+2.343750E+00,+2.643750E+00,+2.550000E+00
+25.000E-03,+2.156250E+00,+2.487500E+00,+2.362500E+00
+25.100E-03,+2.000000E+00,+2.268750E+00,+2.175000E+00
+25.200E-03,+1.843750E+00,+2.081250E+00,+1.987500E+00
+25.300E-03,+1.687500E+00,+1.893750E+00,+1.800000E+00
+25.400E-03,+1.593750E+00,+1.768750E+00,+1.643750E+00
+25.500E-03,+1.531250E+00,+1.581250E+00,+1.550000E+00
+25.600E-03,+1.468750E+00,+1.487500E+00,+1.456250E+00
+25.700E-03,+1.500000E+00,+1.456250E+00,+1.393750E+00
+25.800E-03,+1.531250E+00,+1.425000E+00,+1.425000E+00
+25.900E-03,+1.656250E+00,+1.425000E+00,+1.487500E+00
+26.000E-03,+1.812500E+00,+1.518750E+00,+1.581250E+00
+26.100E-03,+1.937500E+00,+1.612500E+00,+1.706250E+00
+26.200E-03,+2.156250E+00,+1.768750E+00,+1.925000E+00
+26.300E-03,+2.375000E+00,+2.018750E+00,+2.143750E+00
+26.400E-03,+2.562500E+00,+2.206250E+00,+2.331250E+00
+26.500E-03,+2.781250E+00,+2.425000E+00,+2.643750E+00
+26.600E-03,+2.937500E+00,+2.675000E+00,+2.831250E+00
+26.700E-03,+3.125000E+00,+2.925000E+00,+3.081250E+00
